contract,required,observed,passed,blocking_reason
p5_downstream_p6_decision_closure,"{""blocking_reasons"":[],""decision"":""STAGE196B2B6P5_GRADIENT_PATH_INSTRUMENTATION_REQUIRED"",""recommended_next_stage"":""STAGE196B2B6P6_MINIMAL_GRADIENT_PATH_INSTRUMENTATION""}","{""observed"":{""blocking_reasons"":[],""decision"":""STAGE196B2B6P5_GRADIENT_PATH_INSTRUMENTATION_REQUIRED"",""recommended_next_stage"":""STAGE196B2B6P6_MINIMAL_GRADIENT_PATH_INSTRUMENTATION""},""passed"":true,""passed_value"":true,""required"":{""blocking_reasons"":[],""decision"":""STAGE196B2B6P5_GRADIENT_PATH_INSTRUMENTATION_REQUIRED"",""recommended_next_stage"":""STAGE196B2B6P6_MINIMAL_GRADIENT_PATH_INSTRUMENTATION""},""row_count"":1}",True,
p5_downstream_p6_source_feasibility_closure,"{""counterfactual_gradient_path"":""MINIMAL_GRADIENT_INSTRUMENTATION_REQUIRED"",""final_margin_autograd"":true,""three_candidates_currently_available"":false}","{""observed"":{""counterfactual_gradient_path"":""MINIMAL_GRADIENT_INSTRUMENTATION_REQUIRED"",""estimated_incremental_cost"":{""candidate_geometry"":""minimum one counterpart-arm full forward plus negligible three-candidate composer arithmetic"",""separate_teacher"":""one additional no-grad teacher full forward plus EMA update""},""exact_training_entry_point"":""scripts/train_controlled_v6b_minimal.py::main::<locals>.run_training_v6b"",""final_margin_autograd"":true,""native_final_scores"":""src/contramamba/modeling_v6b_minimal.py::ContraMambaV6BMinimal.forward::output['logits']"",""optimizer_step_boundary"":""after total_loss assembly/backward/clip in run_training_v6b"",""teacher_status"":""UNAVAILABLE_WITHOUT_ADDITIONAL_INSTRUMENTATION"",""three_candidates_currently_available"":false,""three_candidates_vectorizable"":true,""top1_runner_up_piecewise"":true},""observed_required_fields"":{""counterfactual_gradient_path"":""MINIMAL_GRADIENT_INSTRUMENTATION_REQUIRED"",""exact_training_entry_point"":""scripts/train_controlled_v6b_minimal.py::main::<locals>.run_training_v6b"",""final_margin_autograd"":true,""native_final_scores"":""src/contramamba/modeling_v6b_minimal.py::ContraMambaV6BMinimal.forward::output['logits']"",""optimizer_step_boundary"":""after total_loss assembly/backward/clip in run_training_v6b"",""teacher_status"":""UNAVAILABLE_WITHOUT_ADDITIONAL_INSTRUMENTATION"",""three_candidates_currently_available"":false,""three_candidates_vectorizable"":true,""top1_runner_up_piecewise"":true},""observed_subset_passed"":true,""passed"":true,""passed_value"":true,""required"":{""counterfactual_gradient_path"":""MINIMAL_GRADIENT_INSTRUMENTATION_REQUIRED"",""final_margin_autograd"":true,""three_candidates_currently_available"":false},""row_count"":1}",True,
p5_downstream_p7_analysis_concurrence,STAGE196B2B6P5_GRADIENT_PATH_INSTRUMENTATION_REQUIRED,"{""observed"":""STAGE196B2B6P5_GRADIENT_PATH_INSTRUMENTATION_REQUIRED"",""passed"":true,""required"":""STAGE196B2B6P5_GRADIENT_PATH_INSTRUMENTATION_REQUIRED""}",True,
p5_downstream_p7_contract_concurrence,"{""blocking_reasons"":[],""decision"":""STAGE196B2B6P5_GRADIENT_PATH_INSTRUMENTATION_REQUIRED""}","{""observed"":{""blocking_reasons"":[],""decision"":""STAGE196B2B6P5_GRADIENT_PATH_INSTRUMENTATION_REQUIRED""},""passed"":true,""passed_value"":true,""required"":{""blocking_reasons"":[],""decision"":""STAGE196B2B6P5_GRADIENT_PATH_INSTRUMENTATION_REQUIRED""},""row_count"":1}",True,
p5_downstream_p7_teacher_non_authorization,"{""exact_ties_ignored"":true,""implementation_authorized"":false,""p5_conceptual_preference"":""stop-gradient EMA model"",""selected_teacher"":""not yet justified""}","{""ema_interpretation"":""conceptual preference only; not implementation authority"",""observed"":{""exact_ties_ignored"":true,""implementation_authorized"":false,""p5_conceptual_preference"":""stop-gradient EMA model"",""selected_teacher"":""not yet justified"",""teacher_rows_descriptive"":true},""passed"":true,""required"":{""exact_ties_ignored"":true,""implementation_authorized"":false,""p5_conceptual_preference"":""stop-gradient EMA model"",""selected_teacher"":""not yet justified""}}",True,
p5_downstream_attestation_scope_restricted,"[""P5 decision identity"",""zero P5 blockers"",""P5 recommended-next-stage identity"",""P5 source-feasibility facts required by P6"",""teacher unavailable without additional instrumentation"",""P7 concurrence that no teacher was authorized""]","{""limitations"":[""the original P5 analysis JSON"",""original P5 numerical tables"",""original P5 output directory"",""original P5 timestamps"",""original P5 source hashes"",""original P5 complete prose"",""byte-identical original P5 content""],""scope"":[""P5 decision identity"",""zero P5 blockers"",""P5 recommended-next-stage identity"",""P5 source-feasibility facts required by P6"",""teacher unavailable without additional instrumentation"",""P7 concurrence that no teacher was authorized""]}",True,
p5_original_artifact_not_fabricated,True,True,True,
upstream_p7_authority,zero blockers and no selected teacher,"{""blocking_reasons"":[],""decision"":""STAGE196B2B6P7_FULL_TRAINABLE_PATH_REPLAY_READY""}",True,
upstream_p8_final_authority,reports/stage196b2b6p8_full_trainable_path_replay_20260723_203414,/kaggle/working/ContraMamba/reports/stage196b2b6p8_full_trainable_path_replay_20260723_203414,True,
p8_zero_failed_contracts,0,0,True,
p8_direction_graph_available,True,"{""counts"":{""CONNECTED_NONZERO"":81,""CONNECTED_ZERO_AT_OBSERVED_BATCH"":27,""DISCONNECTED"":108},""csv_target_family"":""direction"",""family"":""direction"",""graph_available"":true,""interpretation"":""graph-connected with nonzero observed gradients"",""other_classifications"":{},""row_count"":216}",True,
p8_order_graph_available,True,"{""counts"":{""CONNECTED_NONZERO"":0,""CONNECTED_ZERO_AT_OBSERVED_BATCH"":189,""DISCONNECTED"":189},""csv_target_family"":""order"",""family"":""candidate_order"",""graph_available"":true,""interpretation"":""graph-connected but zero at observed batch"",""other_classifications"":{},""row_count"":378}",True,
exact_teacher_candidate_set,"[""CURRENT_NATIVE_STOP_GRAD"",""FRAME_LOCAL_ONLY_DONOR_STOP_GRAD"",""PREVIOUS_STEP_FROZEN_SNAPSHOT"",""PREVIOUS_EPOCH_FROZEN_SNAPSHOT"",""EMA_STUDENT_TEACHER"",""FIXED_RECONSTRUCTED_CHECKPOINT""]","[""CURRENT_NATIVE_STOP_GRAD"",""FRAME_LOCAL_ONLY_DONOR_STOP_GRAD"",""PREVIOUS_STEP_FROZEN_SNAPSHOT"",""PREVIOUS_EPOCH_FROZEN_SNAPSHOT"",""EMA_STUDENT_TEACHER"",""FIXED_RECONSTRUCTED_CHECKPOINT""]",True,
direction_order_independent_evaluation,True,True,True,
no_combined_first_variant,"[""baseline"",""direction_consistency_only"",""candidate_order_consistency_only""]","[""baseline"",""direction_consistency_only"",""candidate_order_consistency_only""]",True,
no_clean_dev_label_targeting,True,True,True,
no_recovery_harm_label_targeting,True,True,True,
no_lexical_candidate_order,True,True,True,
exact_ties_ignored,True,True,True,
teacher_stop_gradient_required,True,True,True,
fixed_seed183_checkpoint_not_assumed_portable,True,True,True,
ema_not_assumed_preexisting,True,True,True,
baseline_default_off_requirement,True,True,True,
zero_model_or_trainer_modification,True,static analyzer only; no model/trainer writes,True,
exact_nine_file_closure,"[""stage196b2b6p9p0_analysis.json"",""stage196b2b6p9p0_report.md"",""stage196b2b6p9p0_teacher_candidate_audit.csv"",""stage196b2b6p9p0_direction_target_design.csv"",""stage196b2b6p9p0_order_target_design.csv"",""stage196b2b6p9p0_state_lifecycle_audit.csv"",""stage196b2b6p9p0_portability_audit.csv"",""stage196b2b6p9p0_decision_gate.csv"",""stage196b2b6p9p0_contract.csv""]","[""stage196b2b6p9p0_analysis.json"",""stage196b2b6p9p0_report.md"",""stage196b2b6p9p0_teacher_candidate_audit.csv"",""stage196b2b6p9p0_direction_target_design.csv"",""stage196b2b6p9p0_order_target_design.csv"",""stage196b2b6p9p0_state_lifecycle_audit.csv"",""stage196b2b6p9p0_portability_audit.csv"",""stage196b2b6p9p0_decision_gate.csv"",""stage196b2b6p9p0_contract.csv""]",True,
