feature_family,feature_name,integration_authorized,diagnostic_only,epoch_scope,source_fields,formula,value_domain,natural_threshold,outcome_derived,available,unavailable_reason
tail_trajectory,FINAL_MARGIN_SIGN_SEQUENCE,false,true,"[18,19,20]","[""final_support_logit"",""final_not_entitled_logit""]","sign(final_support_logit - final_not_entitled_logit), zero iff abs(delta) <= 1e-12","[""NEGATIVE"",""ZERO"",""POSITIVE""]",0.0,false,true,
tail_trajectory,HEAD_MARGIN_SIGN_SEQUENCE,false,true,"[18,19,20]","[""decision_head_support_logit"",""decision_head_not_entitled_logit""]","sign(decision_head_support_logit - decision_head_not_entitled_logit), zero iff abs(delta) <= 1e-12","[""NEGATIVE"",""ZERO"",""POSITIVE""]",0.0,false,true,
tail_trajectory,HEAD_FINAL_MARGIN_SIGN_CONFLICT_SEQUENCE,false,true,"[18,19,20]","[""decision_head_support_logit"",""decision_head_not_entitled_logit"",""final_support_logit"",""final_not_entitled_logit""]",HEAD_SIGN != FINAL_SIGN at each tail epoch,"[false,true]",0.0,false,true,
tail_trajectory,FRAME_HALFSPACE_SEQUENCE,false,true,"[18,19,20]","[""frame_prob""]","halfspace(frame_prob; threshold=0.5, AT_HALF iff abs(x-0.5)<=1e-12)","[""BELOW_HALF"",""AT_HALF"",""ABOVE_HALF""]",0.5,false,true,
tail_trajectory,PREDICATE_HALFSPACE_SEQUENCE,false,true,"[18,19,20]","[""predicate_coverage_prob""]","halfspace(predicate_coverage_prob; threshold=0.5, AT_HALF iff abs(x-0.5)<=1e-12)","[""BELOW_HALF"",""AT_HALF"",""ABOVE_HALF""]",0.5,false,true,
tail_trajectory,SUFFICIENCY_HALFSPACE_SEQUENCE,false,true,"[18,19,20]","[""sufficiency_prob""]","halfspace(sufficiency_prob; threshold=0.5, AT_HALF iff abs(x-0.5)<=1e-12)","[""BELOW_HALF"",""AT_HALF"",""ABOVE_HALF""]",0.5,false,true,
tail_trajectory,ENTITLEMENT_HALFSPACE_SEQUENCE,false,true,"[18,19,20]","[""entitlement_prob_native""]","halfspace(entitlement_prob_native; threshold=0.5, AT_HALF iff abs(x-0.5)<=1e-12)","[""BELOW_HALF"",""AT_HALF"",""ABOVE_HALF""]",0.5,false,true,
tail_trajectory,ENTITLEMENT_BOTTLENECK_SEQUENCE,false,true,"[18,19,20]","[""frame_prob"",""predicate_coverage_prob"",""sufficiency_prob""]","sorted set of argmin names over frame_prob,predicate_coverage_prob,sufficiency_prob; ties preserved within 1e-12","[""sorted nonempty subsets of FRAME,PREDICATE,SUFFICIENCY""]",,false,true,
tail_trajectory,POLARITY_ENERGY_ORDER_SEQUENCE,false,true,"[18,19,20]","[""positive_energy"",""negative_energy""]",compare positive_energy with negative_energy; EQUAL iff abs(delta)<=1e-12,"[""POSITIVE_DOMINANT"",""EQUAL"",""NEGATIVE_DOMINANT""]",0.0,false,true,
tail_trajectory,PREDICATE_MISMATCH_SEQUENCE,false,true,"[18,19,20]","[""predicate_mismatch_active""]",raw exported predicate_mismatch_active flag,"[false,true]",,false,true,
tail_trajectory,TEMPORAL_MISMATCH_SEQUENCE,false,true,"[18,19,20]","[""temporal_mismatch_active""]",raw exported temporal_mismatch_active flag,"[false,true]",,false,true,
tail_trajectory,TEMPORAL_ADAPTER_ACTIVITY_SEQUENCE,false,true,"[18,19,20]","[""temporal_adapter_active""]",raw exported temporal_adapter_active flag,"[false,true]",,false,true,
tail_trajectory,TEMPORAL_CHANNEL_ACTIVITY_SEQUENCE,false,true,"[18,19,20]","[""temporal_channel_active""]",raw exported temporal_channel_active flag,"[false,true]",,false,true,
paired_delta,E20_DELTA_FRAME_SIGN,false,true,[20],"[""frame_prob""]",sign(frame-local-only donor minus joint recipient),"[""NEGATIVE"",""ZERO"",""POSITIVE""]",zero tolerance 1e-12,false,true,
paired_delta,E20_DELTA_PREDICATE_SIGN,false,true,[20],"[""predicate_coverage_prob""]",sign(frame-local-only donor minus joint recipient),"[""NEGATIVE"",""ZERO"",""POSITIVE""]",zero tolerance 1e-12,false,true,
paired_delta,E20_DELTA_SUFFICIENCY_SIGN,false,true,[20],"[""sufficiency_prob""]",sign(frame-local-only donor minus joint recipient),"[""NEGATIVE"",""ZERO"",""POSITIVE""]",zero tolerance 1e-12,false,true,
paired_delta,E20_DELTA_POSITIVE_ENERGY_SIGN,false,true,[20],"[""positive_energy""]",sign(frame-local-only donor minus joint recipient),"[""NEGATIVE"",""ZERO"",""POSITIVE""]",zero tolerance 1e-12,false,true,
paired_delta,E20_DELTA_NEGATIVE_ENERGY_SIGN,false,true,[20],"[""negative_energy""]",sign(frame-local-only donor minus joint recipient),"[""NEGATIVE"",""ZERO"",""POSITIVE""]",zero tolerance 1e-12,false,true,
paired_delta,E20_DELTA_ENTITLEMENT_SIGN,false,true,[20],"[""entitlement_prob_native""]",sign(frame-local-only donor minus joint recipient),"[""NEGATIVE"",""ZERO"",""POSITIVE""]",zero tolerance 1e-12,false,true,
paired_delta,E20_DELTA_HEAD_MARGIN_SIGN,false,true,[20],"[""decision_head_support_logit"",""decision_head_not_entitled_logit""]",sign(frame-local-only donor minus joint recipient),"[""NEGATIVE"",""ZERO"",""POSITIVE""]",zero tolerance 1e-12,false,true,
paired_delta,E20_DELTA_FINAL_MARGIN_SIGN,false,true,[20],"[""final_support_logit"",""final_not_entitled_logit""]",sign(frame-local-only donor minus joint recipient),"[""NEGATIVE"",""ZERO"",""POSITIVE""]",zero tolerance 1e-12,false,true,
paired_delta,E20_PREDICATE_MISMATCH_CHANGE,false,true,[20],"[""predicate_mismatch_active""]",frame-local-only donor boolean minus joint recipient boolean change category,"[""UNCHANGED_FALSE"",""FALSE_TO_TRUE"",""TRUE_TO_FALSE"",""UNCHANGED_TRUE""]",exact boolean transition,false,true,
paired_delta,E20_TEMPORAL_MISMATCH_CHANGE,false,true,[20],"[""temporal_mismatch_active""]",frame-local-only donor boolean minus joint recipient boolean change category,"[""UNCHANGED_FALSE"",""FALSE_TO_TRUE"",""TRUE_TO_FALSE"",""UNCHANGED_TRUE""]",exact boolean transition,false,true,
