arm,dev_position,stable_example_identity,pair_id,intervention_type,persistent_seed_count,stable_correct_seed_count,recurrent_persistent_within_arm,universal_persistent_within_arm,mechanism_bucket_distribution,frame_prob_mean,frame_prob_min,frame_prob_max,predicate_coverage_prob_mean,predicate_coverage_prob_min,predicate_coverage_prob_max,sufficiency_prob_mean,sufficiency_prob_min,sufficiency_prob_max,entitlement_prob_mean,entitlement_prob_min,entitlement_prob_max,polarity_margin_mean,polarity_margin_min,polarity_margin_max,frame_logit_mean,frame_logit_min,frame_logit_max,positive_energy_mean,positive_energy_min,positive_energy_max,negative_energy_mean,negative_energy_min,negative_energy_max
baseline,108,generated_fact_073__none,generated_fact_073,none,3,0,True,True,"{""MULTI_LOCAL_CHANNEL_FAILURE"":3}",0.2962863333333334,0.251448,0.340052,0.382724,0.344324,0.410481,0.99404,0.992967,0.995571,0.113435,0.086196,0.132907,3.5409850000000005,3.127192,3.875531,-0.8712906666666665,-1.090905,-0.663061,3.754360333333333,3.385623,4.147697,0.213375,0.109529,0.272166
baseline,109,generated_fact_073__paraphrase,generated_fact_073,paraphrase,0,3,False,False,{},0.727913,0.649285,0.774996,0.6657513333333333,0.550516,0.741734,0.9952059999999999,0.994458,0.996107,0.48670566666666665,0.355674,0.560195,3.197691666666666,2.903034,3.753205,1.0007833333333334,0.615899,1.236739,3.815751666666667,3.592184,4.244193,0.6180599999999999,0.490988,0.68915
baseline,120,generated_fact_075__none,generated_fact_075,none,0,2,False,False,{},0.4795586666666667,0.457653,0.50678,0.5868829999999999,0.560762,0.636603,0.9943783333333333,0.993302,0.995666,0.279738,0.255522,0.300143,3.6066896666666666,3.159005,3.856704,-0.08193233333333334,-0.169796,0.02712,3.895717666666666,3.49306,4.197462,0.2890276666666667,0.192271,0.340758
baseline,121,generated_fact_075__paraphrase,generated_fact_075,paraphrase,0,3,False,False,{},0.6140686666666667,0.607022,0.626243,0.661628,0.616704,0.74756,0.9946833333333333,0.993995,0.995639,0.4038253333333333,0.373899,0.451252,3.4086933333333334,2.928405,3.70982,0.46460166666666664,0.434812,0.516131,3.9166443333333336,3.558981,4.271855,0.5079513333333333,0.331243,0.630576
baseline,132,generated_fact_078__none,generated_fact_078,none,3,0,True,True,"{""FRAME_ONLY_FAILURE"":2,""MULTI_LOCAL_CHANNEL_FAILURE"":1}",0.33901033333333336,0.299178,0.383944,0.485398,0.364492,0.551659,0.9933746666666666,0.991454,0.995994,0.16579833333333333,0.108249,0.206516,3.5456893333333332,3.06887,3.853803,-0.671538,-0.851215,-0.47284,3.7501526666666667,3.319056,4.066821,0.20446366666666668,0.150186,0.250187
baseline,133,generated_fact_078__paraphrase,generated_fact_078,paraphrase,0,2,False,False,{},0.5096286666666666,0.459435,0.596407,0.5582783333333333,0.436225,0.696843,0.9941173333333334,0.992533,0.995786,0.288973,0.199221,0.412499,3.496093333333333,3.062099,3.867538,0.039990666666666654,-0.162616,0.390518,3.7742513333333334,3.419882,4.162374,0.278157,0.181854,0.357782
baseline,144,generated_fact_080__none,generated_fact_080,none,0,2,False,False,{},0.555275,0.480107,0.704728,0.5671306666666667,0.44143,0.64692,0.994331,0.993382,0.995802,0.3191756666666667,0.210622,0.453989,3.516671666666667,3.129704,3.776514,0.23807599999999998,-0.079613,0.869916,3.7586286666666666,3.402375,4.034971,0.24195699999999998,0.194743,0.272671
baseline,145,generated_fact_080__paraphrase,generated_fact_080,paraphrase,0,3,False,False,{},0.7401110000000001,0.709908,0.780078,0.7185533333333334,0.623353,0.789282,0.994568,0.993798,0.996027,0.5307903333333334,0.439815,0.613255,3.035712,2.599742,3.442428,1.0524816666666668,0.894938,1.266122,3.640211666666667,3.332843,4.098844,0.6044996666666667,0.423982,0.733101
baseline,156,generated_fact_083__none,generated_fact_083,none,0,3,False,False,{},0.5398003333333333,0.510217,0.586777,0.6302496666666667,0.564259,0.717737,0.9948836666666666,0.994017,0.996051,0.34057566666666667,0.286335,0.418631,3.5239243333333334,3.11851,3.86514,0.16040600000000002,0.040876,0.350656,3.8933916666666666,3.549317,4.250473,0.369467,0.292262,0.430806
baseline,157,generated_fact_083__paraphrase,generated_fact_083,paraphrase,0,3,False,False,{},0.8113893333333334,0.720393,0.85909,0.788415,0.671763,0.866938,0.9948286666666667,0.994095,0.995333,0.641629,0.481542,0.736583,1.7760826666666667,0.245946,3.429852,1.5086633333333335,0.946413,1.807751,3.4385763333333332,2.732049,4.267454,1.6624943333333333,0.837602,2.486104
baseline,168,generated_fact_086__none,generated_fact_086,none,2,0,True,False,"{""MULTI_LOCAL_CHANNEL_FAILURE"":2}",0.3437676666666667,0.249327,0.436523,0.4843376666666667,0.398185,0.560683,0.9935523333333333,0.99198,0.995855,0.16750633333333334,0.122216,0.243736,3.482552666666667,3.051268,3.725338,-0.6655256666666667,-1.102206,-0.255286,3.6721836666666667,3.291951,3.93925,0.189631,0.114298,0.240683
baseline,169,generated_fact_086__paraphrase,generated_fact_086,paraphrase,0,2,False,False,{},0.478929,0.464995,0.489046,0.633825,0.536328,0.723218,0.9943766666666667,0.993287,0.996307,0.30198833333333336,0.257172,0.351401,3.4247666666666667,2.998156,3.679631,-0.08437100000000002,-0.140249,-0.043822,3.739596666666667,3.429712,4.066311,0.31483,0.126254,0.431556
baseline,180,generated_fact_087__none,generated_fact_087,none,2,1,True,False,"{""FRAME_ONLY_FAILURE"":1,""MULTI_LOCAL_CHANNEL_FAILURE"":1}",0.321552,0.269384,0.3953,0.5155756666666667,0.491969,0.546319,0.9946013333333333,0.993591,0.995879,0.16487733333333332,0.131982,0.199698,3.5840863333333335,3.146645,3.882226,-0.7567563333333333,-0.99775,-0.425086,3.8102766666666668,3.429427,4.170226,0.22619066666666665,0.107789,0.288001
baseline,181,generated_fact_087__paraphrase,generated_fact_087,paraphrase,0,3,False,False,{},0.5459890000000001,0.497796,0.572416,0.6185203333333332,0.592339,0.660789,0.9950153333333334,0.994236,0.996245,0.3364393333333333,0.298763,0.37619,3.54545,3.145923,3.801744,0.18519933333333335,-0.008816,0.291715,3.890615333333333,3.554193,4.247811,0.3451653333333333,0.181159,0.446067
baseline,192,generated_fact_089__none,generated_fact_089,none,0,3,False,False,{},0.5519316666666666,0.507427,0.581148,0.550299,0.482549,0.598374,0.9947526666666667,0.994039,0.995736,0.3035736666666667,0.243508,0.337386,3.5631303333333335,3.177128,3.905793,0.209238,0.029711,0.327486,3.9076006666666667,3.510168,4.262108,0.34447,0.33304,0.356314
baseline,193,generated_fact_089__paraphrase,generated_fact_089,paraphrase,0,3,False,False,{},0.7331246666666668,0.670731,0.769271,0.6785183333333333,0.56752,0.781239,0.9946736666666668,0.993823,0.995554,0.4983676666666667,0.378615,0.597272,3.333456,3.017048,3.819738,1.0216456666666667,0.711495,1.2042,3.8869000000000002,3.548185,4.304776,0.5534439999999999,0.485037,0.644157
baseline,204,generated_fact_090__none,generated_fact_090,none,0,2,False,False,{},0.4575416666666667,0.380762,0.520967,0.611109,0.479771,0.716056,0.9937483333333333,0.992259,0.995861,0.2822476666666667,0.181423,0.334578,3.5542153333333335,3.100816,3.899943,-0.17298066666666667,-0.486314,0.083919,3.8132136666666665,3.409991,4.166603,0.25899833333333333,0.20116,0.309175
baseline,205,generated_fact_090__paraphrase,generated_fact_090,paraphrase,0,3,False,False,{},0.6204296666666668,0.510027,0.749163,0.6711643333333334,0.552245,0.832071,0.9938549999999999,0.992092,0.99508,0.42279633333333333,0.319319,0.618428,3.094826,2.354114,3.615701,0.5161626666666667,0.040114,1.094154,3.7092396666666665,3.300919,4.243783,0.6144136666666666,0.268354,0.946805
baseline,216,generated_fact_102__none,generated_fact_102,none,3,0,True,True,"{""FRAME_ONLY_FAILURE"":2,""MULTI_LOCAL_CHANNEL_FAILURE"":1}",0.30629233333333333,0.26229,0.356771,0.46243799999999996,0.361246,0.517953,0.9926446666666666,0.990367,0.99592,0.14276533333333333,0.09396,0.180541,3.514131666666666,3.020596,3.81688,-0.823894,-1.034102,-0.589406,3.694650333333333,3.247366,4.00861,0.1805186666666667,0.123056,0.22677
baseline,217,generated_fact_102__paraphrase,generated_fact_102,paraphrase,0,2,False,False,{},0.462936,0.402107,0.573867,0.6039723333333333,0.483848,0.72396,0.9940056666666667,0.992079,0.995942,0.2842153333333333,0.198549,0.412166,3.5154479999999997,3.039722,3.892694,-0.1504366666666667,-0.396693,0.297647,3.784748,3.404238,4.188931,0.26929966666666666,0.147147,0.364516
baseline,228,generated_fact_110__none,generated_fact_110,none,1,1,False,False,"{""MULTI_LOCAL_CHANNEL_FAILURE"":1}",0.43684033333333333,0.360434,0.534928,0.4690726666666667,0.383468,0.528348,0.9939656666666666,0.992849,0.995768,0.205615,0.15813,0.281432,3.505608666666667,3.093962,3.746903,-0.25874,-0.573482,0.139939,3.7251166666666666,3.362505,3.990781,0.21950766666666666,0.146103,0.268543
baseline,229,generated_fact_110__paraphrase,generated_fact_110,paraphrase,0,2,False,False,{},0.48063999999999996,0.458576,0.500006,0.6166993333333334,0.535078,0.707254,0.9946506666666667,0.993793,0.996258,0.29538533333333333,0.257018,0.351474,3.3710576666666667,2.944544,3.596824,-0.07757466666666667,-0.166077,2.5e-05,3.754121,3.44163,4.064163,0.383063,0.184765,0.497085
baseline,240,generated_fact_115__none,generated_fact_115,none,0,3,False,False,{},0.534737,0.50199,0.588634,0.615776,0.583082,0.652831,0.9944863333333333,0.993897,0.995104,0.32838666666666666,0.297804,0.381934,3.379733333333333,2.768109,3.746029,0.14021566666666666,0.007962,0.358323,3.8504343333333337,3.390615,4.279473,0.47070066666666666,0.256152,0.622506
baseline,241,generated_fact_115__paraphrase,generated_fact_115,paraphrase,0,3,False,False,{},0.7963263333333334,0.712164,0.844977,0.7407093333333333,0.64114,0.812365,0.9941053333333333,0.993654,0.994749,0.5903936666666666,0.454199,0.671467,2.3416563333333333,1.391133,3.59224,1.4001196666666669,0.905915,1.695734,3.543227,3.098928,4.263934,1.2015706666666668,0.671694,1.707795
baseline,252,generated_fact_118__none,generated_fact_118,none,0,3,False,False,{},0.5917756666666666,0.507764,0.686628,0.6164413333333333,0.557238,0.652287,0.9940986666666666,0.993662,0.994513,0.36334833333333333,0.321667,0.445421,3.4120923333333333,2.924027,3.85587,0.380692,0.031059,0.784403,3.8491103333333334,3.476675,4.29152,0.4370183333333333,0.322756,0.552649
baseline,253,generated_fact_118__paraphrase,generated_fact_118,paraphrase,0,2,False,False,{},0.555351,0.492839,0.609057,0.5261223333333334,0.487592,0.5519,0.9935170000000001,0.993253,0.993975,0.290381,0.263787,0.334114,3.4809396666666665,3.084764,3.888397,0.22425233333333336,-0.028647,0.443352,3.7523013333333335,3.371386,4.239681,0.27136133333333334,0.176179,0.351283
baseline,264,generated_fact_120__none,generated_fact_120,none,2,0,True,False,"{""FRAME_ONLY_FAILURE"":2}",0.35087266666666667,0.332327,0.361215,0.48741433333333334,0.408815,0.533961,0.9939969999999999,0.993122,0.995476,0.16974199999999998,0.145826,0.191548,3.5765576666666665,3.117961,3.914048,-0.6157163333333333,-0.697678,-0.570094,3.8028413333333333,3.382676,4.182721,0.2262833333333333,0.145463,0.268672
baseline,265,generated_fact_120__paraphrase,generated_fact_120,paraphrase,0,3,False,False,{},0.572348,0.516076,0.613094,0.6164033333333333,0.461467,0.727954,0.994274,0.993633,0.99534,0.35540466666666665,0.236687,0.443462,3.392784333333333,2.971731,3.918253,0.29328233333333337,0.064328,0.460336,3.7806736666666665,3.431415,4.274515,0.3878893333333333,0.347722,0.459684
baseline,276,generated_fact_121__none,generated_fact_121,none,3,0,True,True,"{""MULTI_LOCAL_CHANNEL_FAILURE"":3}",0.289053,0.268073,0.315537,0.438016,0.423908,0.460431,0.993506,0.991697,0.995582,0.125521,0.121305,0.132854,3.547342,3.09957,3.850487,-0.9019020000000001,-1.004423,-0.774358,3.745321666666667,3.334074,4.09207,0.19798000000000002,0.117851,0.241584
baseline,277,generated_fact_121__paraphrase,generated_fact_121,paraphrase,0,3,False,False,{},0.709901,0.620127,0.760602,0.7074763333333333,0.602686,0.762605,0.9952843333333333,0.994435,0.996283,0.5045683333333334,0.371924,0.576812,3.3775826666666666,2.99738,3.770471,0.9130726666666668,0.490087,1.155985,3.9575036666666663,3.649437,4.267327,0.579921,0.496856,0.652057
baseline,288,generated_fact_128__none,generated_fact_128,none,1,1,False,False,"{""FRAME_ONLY_FAILURE"":1}",0.42830299999999993,0.361942,0.523349,0.5259096666666667,0.434192,0.598727,0.9940570000000001,0.992665,0.996041,0.22674066666666667,0.172377,0.312102,3.545576666666667,3.104216,3.773207,-0.29351333333333335,-0.566944,0.093462,3.7550303333333335,3.350382,4.009305,0.20945366666666665,0.146097,0.246166
baseline,289,generated_fact_128__paraphrase,generated_fact_128,paraphrase,0,3,False,False,{},0.6587363333333334,0.596314,0.713775,0.7632286666666667,0.626864,0.841085,0.9947776666666667,0.993774,0.99645,0.5042986666666667,0.37148,0.584453,3.0618656666666664,2.510163,3.529446,0.66487,0.390129,0.913791,3.7671166666666664,3.400524,4.127186,0.7052516666666667,0.597741,0.890361
baseline,300,generated_fact_135__none,generated_fact_135,none,2,0,True,False,"{""FRAME_ONLY_FAILURE"":2}",0.29225866666666667,0.259453,0.326809,0.5353906666666667,0.493504,0.571998,0.9942243333333334,0.993286,0.995862,0.154689,0.147446,0.160199,3.5755133333333333,3.126,3.848614,-0.8881186666666667,-1.048812,-0.722653,3.780991333333333,3.378739,4.098707,0.20547766666666667,0.113602,0.252738
baseline,301,generated_fact_135__paraphrase,generated_fact_135,paraphrase,0,3,False,False,{},0.5725926666666666,0.572263,0.573032,0.7096430000000001,0.627362,0.777804,0.995086,0.994442,0.996368,0.40435366666666667,0.357021,0.442807,3.517253333333333,3.069252,3.754433,0.2924373333333333,0.291091,0.294232,3.9542836666666665,3.617426,4.272701,0.43703000000000003,0.244649,0.548174
baseline,312,generated_fact_138__none,generated_fact_138,none,0,0,False,False,{},0.48012733333333335,0.391516,0.569728,0.49013333333333337,0.361779,0.597589,0.993172,0.990934,0.995426,0.23807399999999998,0.140673,0.289817,3.4520663333333332,3.022917,3.87957,-0.08123233333333334,-0.440942,0.28074,3.7267803333333336,3.304379,4.130783,0.2747136666666667,0.251213,0.291467
baseline,313,generated_fact_138__paraphrase,generated_fact_138,paraphrase,0,1,False,False,{},0.6070783333333333,0.545083,0.675828,0.4864093333333333,0.35924,0.668491,0.9924463333333334,0.990658,0.993731,0.299788,0.194588,0.447564,3.247062666666667,2.871433,3.854276,0.440768,0.180823,0.734665,3.590624333333333,3.206598,4.172716,0.3435616666666667,0.31844,0.37708
baseline,324,generated_fact_144__none,generated_fact_144,none,3,0,True,True,"{""FRAME_ONLY_FAILURE"":1,""MULTI_LOCAL_CHANNEL_FAILURE"":2}",0.312152,0.296753,0.334317,0.47454,0.409866,0.514161,0.9936183333333334,0.992502,0.995522,0.14649166666666666,0.136043,0.15584,3.554218666666667,3.076062,3.890435,-0.791103,-0.862806,-0.688722,3.752129,3.308789,4.130704,0.19791033333333333,0.120735,0.240269
baseline,325,generated_fact_144__paraphrase,generated_fact_144,paraphrase,0,3,False,False,{},0.49807533333333326,0.460339,0.547128,0.6218626666666667,0.48524,0.720242,0.9942786666666666,0.993593,0.995562,0.31112999999999996,0.221964,0.39154,3.5162003333333334,3.069011,3.934554,-0.0076280000000000054,-0.158978,0.189072,3.831446666666667,3.44986,4.259926,0.31524599999999997,0.239517,0.380849
baseline,336,generated_fact_146__none,generated_fact_146,none,2,0,True,False,"{""FRAME_ONLY_FAILURE"":1,""MULTI_LOCAL_CHANNEL_FAILURE"":1}",0.354219,0.280085,0.465995,0.46220533333333336,0.378223,0.505411,0.9938083333333333,0.992077,0.995887,0.16443133333333335,0.118788,0.23455,3.4658483333333336,3.097814,3.724772,-0.6166063333333334,-0.944041,-0.136231,3.6610639999999997,3.346894,3.951758,0.19521566666666668,0.109581,0.24908
baseline,337,generated_fact_146__paraphrase,generated_fact_146,paraphrase,0,1,False,False,{},0.5154416666666667,0.507172,0.525598,0.5677363333333333,0.485016,0.694484,0.9935663333333333,0.991993,0.995164,0.2905203333333333,0.252882,0.354353,3.1686126666666667,2.886736,3.418364,0.061802,0.02869,0.102481,3.507997,3.283202,3.948321,0.33938433333333334,0.082464,0.529957
baseline,359,generated_fact_151__polarity_flip,generated_fact_151,polarity_flip,3,0,True,True,"{""MULTI_LOCAL_CHANNEL_FAILURE"":3}",0.24018966666666666,0.227827,0.24772,0.44269733333333333,0.435281,0.453413,0.9932603333333333,0.991549,0.995421,0.10555433333333335,0.102427,0.108349,3.508452666666667,3.04511,3.838944,-1.1522563333333335,-1.220623,-1.110807,3.6871240000000003,3.24687,4.069317,0.178671,0.103881,0.230372
baseline,371,generated_fact_153__polarity_flip,generated_fact_153,polarity_flip,0,1,False,False,{},0.43710699999999997,0.382503,0.476303,0.620748,0.59395,0.658339,0.994811,0.994007,0.996049,0.270435,0.22629,0.296233,3.6121846666666664,3.175736,3.868328,-0.25476966666666667,-0.478937,-0.094858,3.886006,3.498452,4.220348,0.2738213333333333,0.146728,0.352021
baseline,383,generated_fact_155__polarity_flip,generated_fact_155,polarity_flip,0,1,False,False,{},0.46549100000000004,0.395576,0.520691,0.5210616666666666,0.449587,0.579186,0.9942026666666667,0.993151,0.995913,0.24334933333333333,0.176698,0.277126,3.5646430000000002,3.141788,3.893633,-0.140112,-0.423931,0.082812,3.829342666666667,3.407348,4.177628,0.26469966666666667,0.244544,0.283995
baseline,395,generated_fact_158__polarity_flip,generated_fact_158,polarity_flip,3,0,True,True,"{""MULTI_LOCAL_CHANNEL_FAILURE"":3}",0.2788966666666666,0.216699,0.364328,0.44159966666666667,0.377459,0.489564,0.993559,0.992452,0.995765,0.12394433333333332,0.095774,0.177607,3.503402,3.046837,3.760358,-0.9700893333333335,-1.285009,-0.556627,3.684534333333333,3.269543,3.969006,0.18113233333333334,0.112043,0.222706
baseline,407,generated_fact_161__polarity_flip,generated_fact_161,polarity_flip,0,2,False,False,{},0.48657833333333333,0.473748,0.506512,0.6037446666666667,0.523127,0.663066,0.9949146666666667,0.994123,0.996051,0.29298033333333334,0.246485,0.334525,3.5839543333333332,3.172217,3.900378,-0.05373366666666667,-0.105106,0.02605,3.9009563333333332,3.510398,4.259417,0.31700233333333333,0.253787,0.359039
baseline,419,generated_fact_165__polarity_flip,generated_fact_165,polarity_flip,0,2,False,False,{},0.4258463333333333,0.412031,0.440806,0.6167443333333333,0.570583,0.640155,0.9944513333333335,0.993419,0.995926,0.26150766666666664,0.233551,0.280205,3.614729333333333,3.159318,3.862891,-0.298989,-0.355575,-0.23789,3.8805713333333336,3.463764,4.159937,0.26584233333333335,0.196035,0.304446
baseline,431,generated_fact_166__polarity_flip,generated_fact_166,polarity_flip,1,2,False,False,"{""FRAME_ONLY_FAILURE"":1}",0.5072686666666667,0.391099,0.64856,0.5241049999999999,0.445424,0.612239,0.99409,0.993297,0.995415,0.2695186666666667,0.199983,0.395253,3.5234303333333337,3.082812,3.906509,0.032858666666666675,-0.442697,0.612716,3.8194079999999997,3.408765,4.215413,0.295978,0.253076,0.325954
baseline,443,generated_fact_172__polarity_flip,generated_fact_172,polarity_flip,3,0,True,True,"{""MULTI_LOCAL_CHANNEL_FAILURE"":3}",0.32874566666666666,0.314202,0.3444,0.45881599999999995,0.409017,0.488247,0.9946440000000001,0.994194,0.995495,0.150106,0.13323,0.167394,3.5871383333333333,3.143529,3.900397,-0.7143986666666667,-0.780547,-0.643748,3.827757666666667,3.444316,4.192321,0.24061933333333338,0.129147,0.300787
baseline,455,generated_fact_174__polarity_flip,generated_fact_174,polarity_flip,0,0,False,False,{},0.37691500000000006,0.345319,0.402499,0.588288,0.468132,0.676979,0.9936833333333333,0.992138,0.995942,0.22205066666666665,0.160518,0.257196,3.565715666666667,3.106221,3.87444,-0.5039613333333334,-0.63968,-0.395062,3.7874676666666667,3.391579,4.11608,0.22175266666666663,0.138259,0.285359
