candidate,dimension,rating,basis
E_checkpoint_positive_recall,calibration_like_behavior_risk,medium,clean-dev selection trade-off and leakage contract
E_checkpoint_positive_recall,implementation_complexity,medium,clean-dev selection trade-off and leakage contract
E_checkpoint_positive_recall,checkpoint_dependency,high,clean-dev selection trade-off and leakage contract
E_checkpoint_positive_recall,external_data_leakage_risk,high,clean-dev selection trade-off and leakage contract
E_checkpoint_positive_recall,training_cost,low,clean-dev selection trade-off and leakage contract
E_checkpoint_positive_recall,interpretability,high,clean-dev selection trade-off and leakage contract
E_checkpoint_positive_recall,fixed_hyperparameter_feasibility,medium,clean-dev selection trade-off and leakage contract
F_family_conditioned_weighting,scientific_fit_to_stage182b,low,selected 14-row family mix is not causal
F_family_conditioned_weighting,redundancy_with_current_bce,medium,selected 14-row family mix is not causal
F_family_conditioned_weighting,redundancy_with_stage175,low,selected 14-row family mix is not causal
F_family_conditioned_weighting,redundancy_with_stage177,medium,selected 14-row family mix is not causal
F_family_conditioned_weighting,contamination_sensitivity,high,selected 14-row family mix is not causal
F_family_conditioned_weighting,false_positive_risk,high,selected 14-row family mix is not causal
F_family_conditioned_weighting,calibration_like_behavior_risk,medium,selected 14-row family mix is not causal
F_family_conditioned_weighting,implementation_complexity,medium,selected 14-row family mix is not causal
F_family_conditioned_weighting,checkpoint_dependency,low,selected 14-row family mix is not causal
F_family_conditioned_weighting,external_data_leakage_risk,medium,selected 14-row family mix is not causal
F_family_conditioned_weighting,training_cost,low,selected 14-row family mix is not causal
F_family_conditioned_weighting,interpretability,medium,selected 14-row family mix is not causal
F_family_conditioned_weighting,fixed_hyperparameter_feasibility,low,selected 14-row family mix is not causal
