adjusted_final_probs,adjusted_pred_final_label,base_final_probs,base_pred_final_label,claim_predicate_families,detector_notes,evidence_predicate_families,gold_final_label,id,predicate_conflict_pair,predicate_detector_mode,predicate_mismatch_flag,seed,selected_alpha,split,stage15_probe_type
"[0.05883657558704736, 0.6366016611395507, 0.3045617632734019]",NOT_ENTITLED,"[0.05883657558704736, 0.6366016611395507, 0.3045617632734019]",NOT_ENTITLED,['select'],no_known_conflict;overlap:0.917,['select'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_149_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.05902674463493201, 0.5276946263629357, 0.4132786290021322]",NOT_ENTITLED,"[0.05902674463493201, 0.5276946263629357, 0.4132786290021322]",NOT_ENTITLED,['launch'],no_known_conflict;overlap:0.917,['launch'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_123_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05906608923033899, 0.5206896993887462, 0.4202442113809147]",NOT_ENTITLED,"[0.05906608923033899, 0.5206896993887462, 0.4202442113809147]",NOT_ENTITLED,[],no_known_conflict;overlap:0.900,[],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__robotics_championship_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.06865450568069817, 0.6644835030123574, 0.2668619913069444]",NOT_ENTITLED,"[0.06865450568069817, 0.6644835030123574, 0.2668619913069444]",NOT_ENTITLED,['publish'],no_known_conflict;overlap:0.909,['publish'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__glacier_study_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.05692959920382341, 0.5616946353748964, 0.38137576542128027]",NOT_ENTITLED,"[0.05692959920382341, 0.5616946353748964, 0.38137576542128027]",NOT_ENTITLED,['open'],no_known_conflict;overlap:0.909,['open'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_071_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05633484743578538, 0.6660496824856359, 0.2776154700785786]",NOT_ENTITLED,"[0.05633484743578538, 0.6660496824856359, 0.2776154700785786]",NOT_ENTITLED,['select'],no_known_conflict;overlap:0.917,['select'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_142_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05739203425026401, 0.6300511171363959, 0.31255684861334004]",NOT_ENTITLED,"[0.05739203425026401, 0.6300511171363959, 0.31255684861334004]",NOT_ENTITLED,['open'],no_known_conflict;overlap:0.917,['open'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_120_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.056374238097892826, 0.6778324992517896, 0.2657932626503175]",NOT_ENTITLED,"[0.056374238097892826, 0.6778324992517896, 0.2657932626503175]",NOT_ENTITLED,['launch'],no_known_conflict;overlap:0.909,['launch'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_060_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05822661405441993, 0.6436560623170117, 0.2981173236285684]",NOT_ENTITLED,"[0.05822661405441993, 0.6436560623170117, 0.2981173236285684]",NOT_ENTITLED,['open'],no_known_conflict;overlap:0.909,['open'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_078_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.059844457374194575, 0.568133057856741, 0.3720224847690644]",NOT_ENTITLED,"[0.059844457374194575, 0.568133057856741, 0.3720224847690644]",NOT_ENTITLED,['open'],no_known_conflict;overlap:0.917,['open'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_148_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05904524063444528, 0.5566126589319106, 0.3843421004336441]",NOT_ENTITLED,"[0.05904524063444528, 0.5566126589319106, 0.3843421004336441]",NOT_ENTITLED,['restore'],no_known_conflict;overlap:0.909,['restore'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_033_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05530489743778949, 0.6922323257974032, 0.25246277676480733]",NOT_ENTITLED,"[0.05530489743778949, 0.6922323257974032, 0.25246277676480733]",NOT_ENTITLED,['deliver'],no_known_conflict;overlap:0.909,['deliver'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_070_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05828158583070918, 0.5254628996419521, 0.4162555145273386]",NOT_ENTITLED,"[0.05828158583070918, 0.5254628996419521, 0.4162555145273386]",NOT_ENTITLED,['restore'],no_known_conflict;overlap:0.900,['restore'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_068_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.05892566850463333, 0.6251403552574174, 0.3159339762379493]",NOT_ENTITLED,"[0.05892566850463333, 0.6251403552574174, 0.3159339762379493]",NOT_ENTITLED,['restore'],no_known_conflict;overlap:0.889,['restore'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__theater_restoration_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.0564313299240596, 0.6857895724239091, 0.2577790976520312]",NOT_ENTITLED,"[0.0564313299240596, 0.6857895724239091, 0.2577790976520312]",NOT_ENTITLED,['deliver'],no_known_conflict;overlap:0.909,['deliver'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_042_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05701083174456506, 0.6081997783121039, 0.3347893899433311]",NOT_ENTITLED,"[0.05701083174456506, 0.6081997783121039, 0.3347893899433311]",NOT_ENTITLED,"['deliver', 'direct']",no_known_conflict;overlap:0.900,"['deliver', 'direct']",NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_049_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.056714470062112776, 0.5731012630600224, 0.37018426687786476]",NOT_ENTITLED,"[0.056714470062112776, 0.5731012630600224, 0.37018426687786476]",NOT_ENTITLED,['approve'],no_known_conflict;overlap:0.917,['approve'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_108_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.05823089300206977, 0.4899403338630454, 0.45182877313488473]",NOT_ENTITLED,"[0.05823089300206977, 0.4899403338630454, 0.45182877313488473]",NOT_ENTITLED,"['approve', 'direct']",no_known_conflict;overlap:0.909,"['approve', 'direct']",NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_115_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05755314168785429, 0.4898679054183775, 0.4525789528937682]",NOT_ENTITLED,"[0.05755314168785429, 0.4898679054183775, 0.4525789528937682]",NOT_ENTITLED,['restore'],no_known_conflict;overlap:0.909,['restore'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_075_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.05645763616383435, 0.5363761515211504, 0.4071662123150153]",NOT_ENTITLED,"[0.05645763616383435, 0.5363761515211504, 0.4071662123150153]",NOT_ENTITLED,['restore'],no_known_conflict;overlap:0.909,['restore'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_096_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.056793819767694126, 0.4969517949605953, 0.44625438527171063]",NOT_ENTITLED,"[0.056793819767694126, 0.4969517949605953, 0.44625438527171063]",NOT_ENTITLED,[],no_known_conflict;overlap:0.875,[],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__museum_purchase_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.056512863549742325, 0.5396577770218484, 0.4038293594284093]",NOT_ENTITLED,"[0.056512863549742325, 0.5396577770218484, 0.4038293594284093]",NOT_ENTITLED,"['direct', 'open']",no_known_conflict;overlap:0.900,"['direct', 'open']",NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_043_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05770486892670911, 0.6874654547667075, 0.2548296763065835]",NOT_ENTITLED,"[0.05770486892670911, 0.6874654547667075, 0.2548296763065835]",NOT_ENTITLED,['publish'],no_known_conflict;overlap:0.909,['publish'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_090_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.0560482310417688, 0.5430054519256866, 0.40094631703254463]",NOT_ENTITLED,"[0.0560482310417688, 0.5430054519256866, 0.40094631703254463]",NOT_ENTITLED,['restore'],no_known_conflict;overlap:0.909,['restore'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_047_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.057240573608777504, 0.6461000915230798, 0.2966593348681427]",NOT_ENTITLED,"[0.057240573608777504, 0.6461000915230798, 0.2966593348681427]",NOT_ENTITLED,['deliver'],no_known_conflict;overlap:0.917,['deliver'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_112_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.058121195552371954, 0.6409782638366897, 0.3009005406109383]",NOT_ENTITLED,"[0.058121195552371954, 0.6409782638366897, 0.3009005406109383]",NOT_ENTITLED,['launch'],no_known_conflict;overlap:0.917,['launch'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_130_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.057968551591963444, 0.5268607360698139, 0.4151707123382227]",NOT_ENTITLED,"[0.057968551591963444, 0.5268607360698139, 0.4151707123382227]",NOT_ENTITLED,['publish'],no_known_conflict;overlap:0.917,['publish'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_111_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.058218431595532194, 0.5108450902535054, 0.4309364781509623]",NOT_ENTITLED,"[0.058218431595532194, 0.5108450902535054, 0.4309364781509623]",NOT_ENTITLED,['launch'],no_known_conflict;overlap:0.900,['launch'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__satellite_launch_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.05877023869925753, 0.5776309659871274, 0.3635987953136151]",NOT_ENTITLED,"[0.05877023869925753, 0.5776309659871274, 0.3635987953136151]",NOT_ENTITLED,['launch'],no_known_conflict;overlap:0.909,['launch'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_053_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.06001798138396314, 0.5116593546017572, 0.42832266401427965]",NOT_ENTITLED,"[0.06001798138396314, 0.5116593546017572, 0.42832266401427965]",NOT_ENTITLED,[],no_known_conflict;overlap:0.875,[],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__clinic_expansion_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05918006235355328, 0.640845214940094, 0.2999747227063527]",NOT_ENTITLED,"[0.05918006235355328, 0.640845214940094, 0.2999747227063527]",NOT_ENTITLED,['publish'],no_known_conflict;overlap:0.909,['publish'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_069_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.05764558660295984, 0.6399287296471314, 0.30242568374990875]",NOT_ENTITLED,"[0.05764558660295984, 0.6399287296471314, 0.30242568374990875]",NOT_ENTITLED,['deliver'],no_known_conflict;overlap:0.917,['deliver'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_105_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.05886605594244646, 0.5425803940107076, 0.398553550046846]",NOT_ENTITLED,"[0.05886605594244646, 0.5425803940107076, 0.398553550046846]",NOT_ENTITLED,['open'],no_known_conflict;overlap:0.889,['open'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_050_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05859480687391038, 0.5684451329102818, 0.3729600602158079]",NOT_ENTITLED,"[0.05859480687391038, 0.5684451329102818, 0.3729600602158079]",NOT_ENTITLED,['publish'],no_known_conflict;overlap:0.900,['publish'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_146_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05684112767664052, 0.5314683049344785, 0.411690567388881]",NOT_ENTITLED,"[0.05684112767664052, 0.5314683049344785, 0.411690567388881]",NOT_ENTITLED,['restore'],no_known_conflict;overlap:0.909,['restore'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_089_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05669975818150069, 0.5445565859964301, 0.3987436558220692]",NOT_ENTITLED,"[0.05669975818150069, 0.5445565859964301, 0.3987436558220692]",NOT_ENTITLED,"['direct', 'select']",no_known_conflict;overlap:0.900,"['direct', 'select']",NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_079_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.048610057799101346, 0.8231620483548834, 0.1282278938460152]",NOT_ENTITLED,"[0.048610057799101346, 0.8231620483548834, 0.1282278938460152]",NOT_ENTITLED,['direct'],no_known_conflict;overlap:0.909,['direct'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__opera_premiere_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.05945213122692079, 0.5544192893029597, 0.3861285794701195]",NOT_ENTITLED,"[0.05945213122692079, 0.5544192893029597, 0.3861285794701195]",NOT_ENTITLED,['approve'],no_known_conflict;overlap:0.917,['approve'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_101_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.05616305148847984, 0.48687024693106745, 0.4569667015804527]",NOT_ENTITLED,"[0.05616305148847984, 0.48687024693106745, 0.4569667015804527]",NOT_ENTITLED,['direct'],no_known_conflict;overlap:0.889,['direct'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__library_digitization_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05748588163384806, 0.6028329491465737, 0.3396811692195783]",NOT_ENTITLED,"[0.05748588163384806, 0.6028329491465737, 0.3396811692195783]",NOT_ENTITLED,['select'],no_known_conflict;overlap:0.909,['select'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_065_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.057008402069439315, 0.5528429291548358, 0.3901486687757249]",NOT_ENTITLED,"[0.057008402069439315, 0.5528429291548358, 0.3901486687757249]",NOT_ENTITLED,"['direct', 'open']",no_known_conflict;overlap:0.909,"['direct', 'open']",NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_127_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.05678266175303564, 0.6942976741260242, 0.2489196641209401]",NOT_ENTITLED,"[0.05678266175303564, 0.6942976741260242, 0.2489196641209401]",NOT_ENTITLED,['inspect'],no_known_conflict;overlap:0.889,['inspect'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__dam_inspection_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.055437908079223594, 0.6537576017548529, 0.2908044901659236]",NOT_ENTITLED,"[0.055437908079223594, 0.6537576017548529, 0.2908044901659236]",NOT_ENTITLED,['map'],no_known_conflict;overlap:0.889,['map'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__forest_mapping_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.056720052276189314, 0.5870542453701814, 0.3562257023536294]",NOT_ENTITLED,"[0.056720052276189314, 0.5870542453701814, 0.3562257023536294]",NOT_ENTITLED,"['deliver', 'direct']",no_known_conflict;overlap:0.900,"['deliver', 'direct']",NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_091_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.057988414119388244, 0.5729722008924837, 0.3690393849881281]",NOT_ENTITLED,"[0.057988414119388244, 0.5729722008924837, 0.3690393849881281]",NOT_ENTITLED,"['direct', 'open']",no_known_conflict;overlap:0.900,"['direct', 'open']",NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_085_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.05908810969902934, 0.632444554233095, 0.30846733606787574]",NOT_ENTITLED,"[0.05908810969902934, 0.632444554233095, 0.30846733606787574]",NOT_ENTITLED,['select'],no_known_conflict;overlap:0.909,['select'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_093_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05917503623049456, 0.5590655148909977, 0.3817594488785078]",NOT_ENTITLED,"[0.05917503623049456, 0.5590655148909977, 0.3817594488785078]",NOT_ENTITLED,['open'],no_known_conflict;overlap:0.909,['open'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_057_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05687745514598146, 0.6641262130752039, 0.2789963317788146]",NOT_ENTITLED,"[0.05687745514598146, 0.6641262130752039, 0.2789963317788146]",NOT_ENTITLED,['launch'],no_known_conflict;overlap:0.917,['launch'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_144_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.057035861586860505, 0.5840228623178485, 0.358941276095291]",NOT_ENTITLED,"[0.057035861586860505, 0.5840228623178485, 0.358941276095291]",NOT_ENTITLED,['launch'],no_known_conflict;overlap:0.909,['launch'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_095_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.057302359822845664, 0.6245179651516787, 0.3181796750254757]",NOT_ENTITLED,"[0.057302359822845664, 0.6245179651516787, 0.3181796750254757]",NOT_ENTITLED,['select'],no_known_conflict;overlap:0.909,['select'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_072_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05808795121628848, 0.5579000159836619, 0.38401203280004964]",NOT_ENTITLED,"[0.05808795121628848, 0.5579000159836619, 0.38401203280004964]",NOT_ENTITLED,['deliver'],no_known_conflict;overlap:0.909,['deliver'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_140_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05852768992872783, 0.6511103140278751, 0.2903619960433971]",NOT_ENTITLED,"[0.05852768992872783, 0.6511103140278751, 0.2903619960433971]",NOT_ENTITLED,['launch'],no_known_conflict;overlap:0.889,['launch'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_074_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.05713900552438786, 0.6231996094205626, 0.31966138505504954]",NOT_ENTITLED,"[0.05713900552438786, 0.6231996094205626, 0.31966138505504954]",NOT_ENTITLED,['open'],no_known_conflict;overlap:0.909,['open'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_036_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.06172494374972633, 0.5522500927286216, 0.38602496352165216]",NOT_ENTITLED,"[0.06172494374972633, 0.5522500927286216, 0.38602496352165216]",NOT_ENTITLED,[],no_known_conflict;overlap:0.900,[],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__treaty_signature_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.058731828225762416, 0.4810050211701127, 0.460263150604125]",NOT_ENTITLED,"[0.058731828225762416, 0.4810050211701127, 0.460263150604125]",NOT_ENTITLED,['publish'],no_known_conflict;overlap:0.909,['publish'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_104_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05990808454919024, 0.5795368725763249, 0.3605550428744848]",NOT_ENTITLED,"[0.05990808454919024, 0.5795368725763249, 0.3605550428744848]",NOT_ENTITLED,['open'],no_known_conflict;overlap:0.917,['open'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_141_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.057330897004856024, 0.6295886112465334, 0.3130804917486106]",NOT_ENTITLED,"[0.057330897004856024, 0.6295886112465334, 0.3130804917486106]",NOT_ENTITLED,['restore'],no_known_conflict;overlap:0.917,['restore'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_138_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.058145798914343946, 0.5555445194428716, 0.38630968164278445]",NOT_ENTITLED,"[0.058145798914343946, 0.5555445194428716, 0.38630968164278445]",NOT_ENTITLED,['select'],no_known_conflict;overlap:0.900,['select'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_044_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.05612482405385609, 0.47755285519276136, 0.46632232075338254]",NOT_ENTITLED,"[0.05612482405385609, 0.47755285519276136, 0.46632232075338254]",NOT_ENTITLED,['approve'],no_known_conflict;overlap:0.900,['approve'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_080_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.06080327335803424, 0.4820074534018548, 0.457189273240111]",NOT_ENTITLED,"[0.06080327335803424, 0.4820074534018548, 0.457189273240111]",NOT_ENTITLED,[],no_known_conflict;overlap:0.900,[],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__poetry_prize_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.05398052287094147, 0.7474971051508498, 0.19852237197820868]",NOT_ENTITLED,"[0.05398052287094147, 0.7474971051508498, 0.19852237197820868]",NOT_ENTITLED,['select'],no_known_conflict;overlap:0.917,['select'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_114_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.058450315257298276, 0.5728444434180163, 0.36870524132468535]",NOT_ENTITLED,"[0.058450315257298276, 0.5728444434180163, 0.36870524132468535]",NOT_ENTITLED,['open'],no_known_conflict;overlap:0.917,['open'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_106_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
